=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.23 15:31:47 =~=~=~=~=~=~=~=~=~=~=~=
Raw Z PID output32.99           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.01           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.01           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.01           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.05           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.05           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.05           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.10           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.10           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.10           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.11           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.11           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.11           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.13           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.13           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.13           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.16           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.16           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.16           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.19           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.19           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.19           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.25           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.25           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.25           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.24           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.24           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.24           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.30           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.30           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.30           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.32           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.32           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.32           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output33.35           ,PHI PID0.06           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
R
